ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
533	Minerio de Ferro	8	15377,28	Etapa unica			
534	Minerio de Ferro	8,2	511	Etapa unica			
535	Minerio de Ferro	8,5	2165,46	Etapa unica			
536	Minerio de Ferro	8,83	503	Etapa unica			
537	Minerio de Ferro	9	12000	Alteamento a jusante			
538	Minerio de Ferro	9	70613,28	Etapa unica			
539	Minerio de Manganes	11	8000	Etapa unica			
540	Minerio de Manganes	14	36000	Etapa unica			
541	Minerio de Manganes	6	5000	Etapa unica			
542	Sedimento	2	250	Etapa unica			
543	Sedimento	8	183	Etapa unica			
544	Minerio de Ferro	10	80000	Etapa unica			
545	Minerio de Ferro	14	12347	Etapa unica			
546	Minerio de Ferro	9	15000	Etapa unica			
547	Argila Arenosa	13	30000	Etapa unica			
548	Minerio de Ferro	6	2100	Etapa unica			
549	Argila Arenosa	12	45000	Etapa unica			
550	Minerio de Ferro	5	900	Etapa unica			
551	Argila Arenosa	11,45	76000	Etapa unica			
552	Minerio de Ferro	3	100	Etapa unica			
553	Argila Arenosa	12	50000	Etapa unica			
554	Minerio de Ferro	14	2500	Etapa unica			
555	Minerio de Ferro	12	48252	Etapa unica			
556	Sedimento	2	300	Etapa unica			
557	Argila Arenosa	12,45	54000	Etapa unica			
558	Argila Arenosa	9,93	54000	Etapa unica			
559	Sedimento	3	100	Etapa unica			
560	Argila	3	200	Etapa unica			
561	Sedimento	1,5	25	Etapa unica			
562	Sedimento	14,5	52000	Etapa unica			
